,sp500 high,nasdaq high,usd_chf,eur_usd,silver high,palladium high,palladium low,year,month,gold high
0,115.14,46.52,1.0206,1.4478,18.7,45.02,43.86,2010,1,112.37
1,114.84,46.55,1.0264,1.4376,18.54,45.76,44.4,2010,1,112.01
2,270.1797653670342,182.68978435063187,0.9473143475906877,1.191436924742826,21.608060365689703,110.18447308416239,107.93186200591556,2010,1,146.10147749395
3,115.13,46.64,1.034,1.4269,18.79,47.08,45.7,2010,1,111.75
4,114.45,46.604,1.0453,1.4094,18.31,47.31,45.17,2010,1,110.05
5,114.27,46.35,1.0426,1.4106,17.91,46.98,45.07,2010,1,108.78
6,111.74,45.48,1.04,1.4154,17.154,44.386,42.6,2010,1,107.68
7,110.41,44.6,1.0403,1.4146,17.16,44.42,43.43,2010,1,107.72
8,110.47,44.89,1.0466,1.4063,16.89,43.1,42.38,2010,1,107.99
9,110.08,44.85,1.0472,1.4053,16.7,42.44,40.93,2010,1,108.8
10,110.25,44.43,1.0517,1.3993,16.69,42.63,40.85,2010,1,107.23
11,109.8,44.02,1.0557,1.387,16.28,42.21,41.15,2010,1,106.3
12,109.07,43.2807,1.0586,1.3904,16.68,43.28,42.13,2010,2,108.48
13,110.59,43.78,1.0557,1.3955,16.77,44.45,43.81,2010,2,109.6
14,110.48,43.97,1.059,1.3907,16.6,44.56,43.48,2010,2,109.54
15,109.03,43.66,1.0655,1.3759,16.07,42.57,40.44,2010,2,106.8
16,106.88,43.02,1.0779,1.3608,15.1917,40.55,38.49,2010,2,104.68
17,107.33,43.18,1.0696,1.3699,15.24,40.82,40.0,2010,2,105.14
18,108.15,43.51,1.0641,1.3795,15.57,41.95,41.33,2010,2,106.15
19,107.6,43.31,1.0682,1.3722,15.3701,41.73,40.71,2010,2,105.5
20,108.25,43.79,1.0747,1.364,15.71,42.21,41.22,2010,2,107.56
21,108.1,43.88,1.0767,1.3625,15.53,41.98,40.9901,2010,2,107.1
22,270.1797653670342,182.68978435063187,0.9473143475906877,1.191436924742826,21.608060365689703,110.18447308416239,107.93186200591556,2010,2,146.10147749395
23,109.85,44.35,1.0681,1.3742,16.2,43.44,43.05,2010,2,109.87
24,110.41,44.57,1.0768,1.3623,16.27,44.1,43.51,2010,2,110.01
25,111.14,44.93,1.0806,1.3563,16.24,43.91,43.24,2010,2,110.11
26,111.57,45.05,1.0824,1.3538,16.4999,44.83,43.18,2010,2,110.39
27,111.58,45.03,1.0773,1.359,16.39,44.26,43.5,2010,2,109.97
28,111.2,44.74,1.0818,1.3537,16.0,44.18,43.0,2010,2,108.91
29,111.0,44.79,1.0779,1.3576,15.98,43.02,42.0,2010,2,108.16
30,110.75,44.7,1.0858,1.3476,16.14,42.51,41.6,2010,2,108.7
31,111.12,44.86,1.0711,1.366,16.52,43.3,42.8,2010,2,109.6
32,112.0,45.49,1.0827,1.3516,16.59,43.75,43.26,2010,3,109.9
33,112.74,45.85,1.079,1.3564,17.0616,44.45,43.96,2010,3,111.45
34,112.97,45.82,1.0652,1.3731,17.32,45.2385,44.258,2010,3,112.18
35,112.8,45.81,1.078,1.3571,17.27,46.45,45.0,2010,3,111.37
36,114.34,46.54,1.0751,1.3608,17.4699,47.78,46.62,2010,3,111.75
37,114.52,46.64,1.0744,1.3613,17.48,47.65,46.8001,2010,3,111.3
38,114.99,47.05,1.0765,1.3586,17.36,47.28,46.3,2010,3,110.16
39,115.28,47.28,1.0702,1.3658,17.6,47.59,45.86,2010,3,110.5
40,115.48,47.35,1.0689,1.3674,17.14,46.22,45.0,2010,3,108.65
41,115.97,47.53,1.0599,1.3753,17.2,46.68,46.05,2010,3,108.77
42,115.57,47.38,1.0635,1.3652,17.11,46.5,45.739,2010,3,108.56
43,116.52,47.61,1.0556,1.3758,17.4599,47.49,46.56,2010,3,110.57
44,117.48,47.9,1.0551,1.3739,17.5,48.28,47.3,2010,3,110.46
45,117.27,47.88,1.063,1.3603,17.5,47.93,47.46,2010,3,110.61
46,117.29,47.95,1.0615,1.353,17.35,47.86,46.5,2010,3,110.29
47,116.8,48.11,1.058,1.3531,16.92,46.2092,45.15,2010,3,108.0
48,117.51,48.3,1.0561,1.3535,17.1,46.669,45.35,2010,3,108.5
49,117.43,48.17,1.0692,1.3347,16.72,45.6404,44.021,2010,3,107.07
50,118.17,48.6,1.0697,1.3344,16.79,45.35,44.68,2010,3,107.25
51,117.42,48.33,1.0662,1.3398,16.92,46.04,45.34,2010,3,108.7
52,117.53,48.4,1.0634,1.3465,17.3822,47.6001,47.1,2010,3,109.17
53,117.83,48.55,1.0671,1.3409,17.35,47.2499,46.83,2010,3,108.6615
54,117.52,48.45,1.0528,1.3526,17.59,48.59,47.63,2010,3,109.5
55,118.25,48.7,1.0559,1.3569,17.95,49.32,48.773,2010,4,110.47
56,270.1797653670342,182.68978435063187,1.0632,1.3487,21.608060365689703,110.18447308416239,107.93186200591556,2010,4,146.10147749395
57,118.84,48.72,1.0619,1.3486,18.1,50.98,49.11,2010,4,110.9837
58,119.25,48.9,1.0704,1.3378,18.06,51.1,50.3101,2010,4,111.51
59,119.36,48.87,1.0716,1.3364,18.23,51.23,50.5101,2010,4,112.93
60,118.97,48.82,1.0723,1.336,18.1,50.63,50.08,2010,4,112.98
61,119.6,49.05,1.0672,1.3468,18.4,51.38,50.8,2010,4,114.07
62,120.05,49.2,1.0598,1.3587,18.46,52.46,51.56,2010,4,114.13
63,120.04,49.35,1.0573,1.3592,18.26,52.95,51.4,2010,4,113.16
64,121.19,49.92,1.0512,1.3666,18.4499,55.0,54.16,2010,4,113.66
65,121.57,50.19,1.0595,1.354,18.4526,54.92,54.26,2010,4,113.71
66,121.29,50.12,1.0624,1.3487,18.28,53.91,52.411,2010,4,113.07
67,119.93,49.66,1.065,1.3458,17.73,53.78,52.37,2010,4,111.36
68,120.98,49.88,1.0673,1.3446,17.9899,55.35,54.21,2010,4,112.21
69,121.23,50.19,1.0708,1.3383,18.09,57.05,56.18,2010,4,112.64
70,121.17,50.36,1.0778,1.3298,17.99,56.61,55.1401,2010,4,112.01
71,121.86,50.57,1.0743,1.336,18.23,56.5099,55.25,2010,4,113.3
72,122.12,50.65,1.0753,1.3336,18.36,57.1063,56.13,2010,4,113.2
73,121.34,50.43,1.0837,1.323,18.37,56.4685,54.501,2010,4,114.82
74,119.68,49.63,1.091,1.313,18.19,54.58,53.41,2010,4,114.99
75,121.11,50.33,1.0824,1.3243,18.5299,55.22,54.3601,2010,4,114.52
76,121.01,50.29,1.0767,1.3302,18.7299,55.4838,54.59,2010,4,115.7
77,270.1797653670342,182.68978435063187,0.9473143475906877,1.191436924742826,21.608060365689703,110.18447308416239,107.93186200591556,2010,5,146.10147749395
78,120.68,50.17,1.0868,1.3183,18.83,54.75,53.93,2010,5,116.28
79,119.03,49.32,1.0987,1.3037,18.57,52.644,51.07,2010,5,116.43
80,117.8,48.5,1.1118,1.289,17.57,52.03,48.3,2010,5,115.24
81,117.0,48.3201,1.1092,1.2689,17.65,51.59,49.55,2010,5,118.62
82,113.77,46.8,1.1085,1.2721,18.581,52.21,49.37,2010,5,118.88
83,116.65,47.8,1.1069,1.2861,18.61,53.14,51.64,2010,5,117.9
84,117.36,48.39,1.1059,1.2715,19.37,53.32,52.0,2010,5,120.87
85,117.62,48.66,1.1101,1.2642,19.68,54.9,53.98,2010,5,122.235
86,117.68,48.79,1.1146,1.2568,19.8,54.98,54.0,2010,5,121.71
87,115.33,47.52,1.1304,1.239,19.6,53.6,52.0,2010,5,122.02
88,114.52,47.27,1.1392,1.2299,19.34,52.02,49.38,2010,5,121.12
89,115.22,47.58,1.1342,1.2358,19.09,50.9599,49.5,2010,5,120.32
90,112.77,46.63,1.1564,1.2317,18.5899,47.82,45.0,2010,5,118.43
91,109.89,45.28,1.15,1.237,17.89,42.92,40.7,2010,5,116.95
92,109.38,45.64,1.1485,1.2575,17.824,44.68,42.58,2010,5,116.24
93,109.39,45.325,1.1561,1.2406,18.0201,45.55,44.4,2010,5,117.17
94,107.87,44.76,1.1593,1.2279,17.86,44.14,42.69,2010,5,117.52
95,109.47,45.57,1.1602,1.2224,18.37,45.03,44.17,2010,5,119.08
96,110.8,45.89,1.15,1.237,18.52,46.3755,45.26,2010,5,119.038
97,110.72,45.99,1.1534,1.2369,18.4,47.13,45.17,2010,5,118.9
98,270.1797653670342,182.68978435063187,0.9473143475906877,1.191436924742826,21.608060365689703,110.18447308416239,107.93186200591556,2010,5,146.10147749395
99,109.95,46.25,1.1548,1.2266,18.68,46.41,45.58,2010,6,120.25
100,110.34,46.28,1.1575,1.2206,18.3285,45.84,44.47,2010,6,119.88
101,111.06,46.77,1.154,1.2193,18.31,46.18,44.44,2010,6,119.39
102,109.33,46.29,1.1614,1.1998,17.62,44.1,42.44,2010,6,119.39
103,107.61,45.46,1.1613,1.1959,18.2399,43.25,42.09,2010,6,121.8
104,106.83,44.48,1.151,1.1995,18.43,44.22,43.2,2010,6,122.45
105,108.28,44.91,1.1455,1.2045,18.328,45.6585,44.62,2010,6,120.99
106,109.28,45.12,1.1418,1.2111,18.38,45.51,44.61,2010,6,120.04
107,109.75,45.54,1.1521,1.2077,18.3,45.22,44.47,2010,6,120.41
108,111.12,46.24,1.1378,1.2277,18.5,46.15,45.45,2010,6,120.26
109,112.1,46.77,1.131,1.2327,18.63,47.5,46.0603,2010,6,121.03
110,112.42,47.14,1.1267,1.2323,18.52,47.39,46.82,2010,6,120.89
111,112.33,47.18,1.1137,1.2365,18.82,48.23,47.3301,2010,6,122.41
112,112.13,47.34,1.1107,1.236,19.2365,49.14,48.15,2010,6,123.5
113,113.2,47.68,1.108,1.2385,19.29,50.45,48.94,2010,6,123.11
114,111.9,47.14,1.1047,1.2303,18.94,49.07,48.21,2010,6,121.59
115,110.03,46.47,1.1053,1.231,18.64,48.28,47.0,2010,6,121.02
116,108.83,45.99,1.1048,1.2288,18.75,47.5901,46.436,2010,6,122.1601
117,108.42,45.66,1.0937,1.2332,19.1,47.83,46.78,2010,6,123.13
118,108.32,45.55,1.086,1.2316,19.2,47.81,46.35,2010,6,123.56
119,107.51,44.46,1.081,1.2187,18.64,46.35,44.73,2010,6,121.82
120,104.88,43.67,1.0774,1.2291,18.64,44.85,43.83,2010,6,122.09
121,103.49,42.96,1.0675,1.2464,18.3841,43.421,42.25,2010,7,121.03
122,103.42,42.8215,1.0635,1.2577,17.87,43.602,42.37,2010,7,118.5
123,270.1797653670342,182.68978435063187,0.9473143475906877,1.191436924742826,21.608060365689703,110.18447308416239,107.93186200591556,2010,7,146.10147749395
124,104.37,43.37,1.0587,1.2646,17.95,44.32,42.76,2010,7,117.72
125,106.24,44.01,1.0545,1.2594,18.04,44.86,43.75,2010,7,117.78
126,107.28,44.38,1.0502,1.2683,18.01,44.83,43.43,2010,7,117.41
127,107.97,44.63,1.0577,1.2639,18.1499,45.8,44.9901,2010,7,118.73
128,108.24,45.03,1.0621,1.2573,18.02,45.62,44.92,2010,7,118.2
129,110.09,45.5,1.0524,1.2719,18.2799,46.819,46.08,2010,7,119.1
130,110.08,45.81,1.0556,1.2755,18.41,46.95,46.23,2010,7,119.13
131,110.06,45.74,1.0421,1.2893,18.39,47.09,46.29,2010,7,118.7
132,109.21,45.6281,1.0522,1.2919,17.89,45.51,44.39,2010,7,116.79
133,107.63,44.81,1.0524,1.2963,17.68,44.6,43.81,2010,7,115.8041
134,108.56,45.26,1.0481,1.2905,17.73,45.32,43.62,2010,7,116.74
135,109.07,45.76,1.052,1.2818,17.827,45.46,44.51,2010,7,117.0
136,109.94,45.98,1.0403,1.2903,18.13,45.81,45.26,2010,7,117.5
137,110.57,46.1,1.0529,1.2874,18.189,46.81,45.75,2010,7,117.47
138,111.67,46.46,1.048,1.2983,18.16,47.64,47.1,2010,7,116.47
139,112.29,46.72,1.0622,1.2983,17.96,47.53,46.475,2010,7,114.99
140,111.66,46.58,1.0578,1.2998,17.53,46.83,46.52,2010,7,113.93
141,111.82,46.41,1.0412,1.3064,17.64,49.0,47.961,2010,7,114.35
142,110.86,46.09,1.041,1.3069,18.07,49.889,48.43,2010,7,115.73
143,270.1797653670342,182.68978435063187,0.9473143475906877,1.191436924742826,21.608060365689703,110.18447308416239,107.93186200591556,2010,8,146.10147749395
144,112.94,46.79,1.0379,1.3174,18.52,51.5,50.08,2010,8,116.39
145,112.77,46.7,1.0384,1.3239,18.55,51.0,49.749,2010,8,116.44
146,113.11,46.99,1.0514,1.3158,18.62,50.64,49.3601,2010,8,117.65
147,112.91,46.92,1.0475,1.3157,18.34,49.67,48.85,2010,8,117.1
148,112.57,46.85,1.0365,1.3282,18.52,49.3999,48.48,2010,8,118.42
149,113.18,47.19,1.0457,1.3241,18.357,48.35,47.5,2010,8,117.85
150,112.98,46.95,1.0575,1.3095,18.4,47.58,46.95,2010,8,118.09
151,110.69,45.92,1.0584,1.2899,18.09,47.26,46.09,2010,8,118.14
152,109.02,45.24,1.0485,1.2866,18.05,47.29,46.61,2010,8,118.86
153,108.96,45.06,1.0526,1.2767,18.08,47.71,47.17,2010,8,118.89
154,108.61,45.11,1.0378,1.2838,18.389,48.44,47.8,2010,8,119.825
155,110.39,45.78,1.0434,1.289,18.55,49.644,49.131,2010,8,119.97
156,110.38,45.82,1.0404,1.2872,18.42,49.15,48.11,2010,8,120.51
157,109.49,45.46,1.031,1.2837,18.49,49.49,47.84,2010,8,120.99
158,107.94,45.03,1.0372,1.2687,18.06,47.72,47.1401,2010,8,120.07
159,108.57,45.34,1.0391,1.2663,17.988,48.325,47.49,2010,8,120.07
160,106.39,44.12,1.0307,1.2675,18.407,48.58,47.66,2010,8,120.8
161,106.34,44.26,1.0273,1.2652,18.97,49.299,48.46,2010,8,121.38
162,106.58,44.32,1.0253,1.2717,19.1,50.44,49.59,2010,8,122.95
163,106.97,44.16,1.0268,1.2765,19.29,50.4,49.63,2010,8,121.45
164,106.91,44.25,1.0244,1.2686,19.0799,50.1,49.5,2010,8,121.0598
165,105.98,43.85,1.015,1.2704,19.347,50.08,49.25,2010,8,122.19
166,108.61,44.91,1.0149,1.2813,19.33,51.82,51.29,2010,9,122.21
167,109.49,45.28,1.0118,1.2824,19.64,52.32,51.74,2010,9,122.48
168,110.99,46.02,1.0174,1.2885,19.87,53.0,52.09,2010,9,122.385
169,270.1797653670342,182.68978435063187,0.9473143475906877,1.191436924742826,21.608060365689703,110.18447308416239,107.93186200591556,2010,9,146.10147749395
170,110.51,46.03,1.0114,1.2723,19.91,52.74,51.78,2010,9,123.06
171,110.85,46.45,1.0106,1.2727,20.0,52.62,52.11,2010,9,123.42
172,111.68,46.7,1.0149,1.2708,19.9792,52.4999,51.75,2010,9,122.88
173,111.61,46.67,1.0175,1.2731,19.97,52.08,51.54,2010,9,122.3
174,112.95,47.37,1.0079,1.289,20.17,53.0,52.05,2010,9,122.11
175,113.29,47.7,0.9938,1.3014,20.45,55.17,54.19,2010,9,124.59
176,113.21,47.8,1.0032,1.3008,20.55,56.1,54.65,2010,9,124.29
177,113.12,47.98,1.0143,1.3079,20.75,55.4,54.54,2010,9,124.77
178,113.15,48.14,1.0092,1.3046,20.81,54.606,53.86,2010,9,125.03
